אָב|<a>v|father
מִידָּה|mid<a>|measure, size; attribute, characteristic
מְדִידָה|medid<a>|measurement
מַדָּד|mad<a>d|index, indicator
לְהִתְמוֹדֵד|lehitmod<e>d|to compete (with someone), to withstand, to deal with (עם)
מַדּוּעַ|mad<u>a|why, for what reason
מִידּוּר|mid<u>r|compartmentalisation (security barriers within an organisation)
מִדְרוֹן|midr<o>n|slope, incline
מִדְרוֹנִי|midron<i>|sloping, slanting
מַה|m<a>|what
לִמְהוֹל|limh<o>l|to dilute
לְהִימָּהֵל|lehimah<e>l|to be diluted, to be mixed
לְהִתְמַהְמֵהַּ|lehitmahm<e>a(h)|to tarry, to linger, to be delayed
לְמַהֵר|lemah<e>r|to hurry
מָהִיר|mah<i>r|fast, quick; nimble, agile
לְהִימּוֹג|lehim<o>g|to fade, to dissipate
לְהִתְמוֹגֵג|lehitmog<e>g|to enjoy, to melt from pleasure
מוֹדֶרְנִי|mod<e>rni|modern
מוּזֵיאוֹן|muze'<o>n|museum
מוּזִיקָה|m<u>zika|music
לְמוֹטֵט|lemot<e>t|to destroy, to collapse
לְהִתְמוֹטֵט|lehitmot<e>t|to collapse, to disintegrate
לָמוּט|lam<u>t|to wobble
לְהִימּוֹט|lehim<o>t|to collapse, to fall (lit.)
לָמוּל|lam<u>l|to circumcise
לְהִימּוֹל|lehim<o>l|to be circumcised
מוּל|m<u>l|against; opposite, in front of
מוּסְלְמִי|muslem<i>|Muslim
לְהָמִיר|leham<i>r|to change, to convert
תְּמוּרָה|tmur<a>|compensation, exchange, replacement; permutation (mathematics)
לָמוּשׁ|lam<u>sh|to depart, to get moving (lit.)
לָמוּת|lam<u>t|to die
לְהָמִית|leham<i>t|to kill, to cause to die
מָווֶת|m<a>vet|death
לִמְזוֹג|limz<o>g|to pour
לְהִתְמַזֵּג|lehitmaz<e>g|to merge, to meld, to unite
מֶזֶג|m<e>zeg|temperament, demeanor; מזג אוויר: weather
מַזְגָן|mazg<a>n|air conditioner
לְמַזֵּג|lemaz<e>g|to air-condition
לְמַזֵּג|lemaz<e>g|to merge
מַזָּל|maz<a>l|luck, chance; (mostly in plural) zodiac signs
לְהִתְמַזֵּל|lehitmaz<e>l|(used in expression התמזל מזלו/ה, luck shined on him/her) to get lucky
לְהִתְמַזְמֵז|lehitmazm<e>z|to make out (with someone) (slang)
לְמַזְמֵז|lemazm<e>z|to caress, to fondle (slang)
לְמַזְעֵר|lemaz'<e>r|to minimise, to reduce (an image, etc.)
לִמְחוֹא|limch<o>|to clap (hands)
מְחָאָה|mecha'<a>|protest
לְהַמְחִיז|lehamch<i>z|to stage, to dramatize
לְמַחְזֵר|lemachz<e>r|to recycle
מוֹחַ|m<o>ach|brain
לִמְחוֹט|limch<o>t|to snuff, to clean one's nose
מִמְחָטָה|mimchat<a>|handkerchief
לִמְחוֹת|limch<o>t|to protest, to object; to erase, to obliterate
לְהִימָּחוֹת|lehimach<o>t|to be obliterated, exterminated
לְהִתְמַחוֹת|lehitmach<o>t|to specialise
לְמַחוֹת|lemach<o>t|to protest, to object (formal)
מוּמְחֶה|mumch<e>|expert, specialist
לִמְחוֹל|limch<o>l|to forgive, to pardon
מְחִילָה|mechil<a>|pardon, forgiveness
לִמְחוֹץ|limch<o>tz|to crush
לְהִימָּחֵץ|lehimach<e>tz|to be squashed
לִמְחוֹק|limch<o>k|to erase, to blot out
לְהִימָּחֵק|lehimach<e>k|to be erased, stricken out
מְחִיקָה|mechik<a>|erasure
מָחִיק|mach<i>k|removable, erasable
מָחָר|mach<a>r|tomorrow
מְחִיר|mech<i>r|price
מָחֳרָתַייִם|mochorat<a>yim|the day after tomorrow
לְהַמְחִישׁ|lehamch<i>sh|to illustrate, to demonstrate
לְמַחְשֵׁב|lemachsh<e>v|to computerise
לְהַמְטִיר|lehamt<i>r|to make it rain (lit.)
מַמְטֵרָה|mamter<a>|water sprinkler
מָטָר|mat<a>r|rain, shower (lit.)
מִטְרִייָּה|mitriy<a>|umbrella
מִי|m<i>|who
מַיִם|m<a>yim|water
מֵימָן|meim<a>n|hydrogen
מִיּוּן|miy<u>n|sorting
מִין|m<i>n|type, kind; sex; gender (grammar); species (biology)
תְּמוּנָה|tmun<a>|image, picture
מִין|m<i>n|heretic, apostate
לְמַייֵּן|lemay<e>n|to sort
מִישֶׁהוּ|m<i>shehu|someone, somebody (male)
מִישֶׁהִי|m<i>shehi|someone, somebody (female)
לִמְכּוֹר|limk<o>r|to sell
לְהִתְמַכֵּר|lehitmak<e>r|to become addicted (ל־)
לְהִימָּכֵר|lehimach<e>r|to be sold
מְכִירָה|mechir<a>|sale
מָכוּר|mach<u>r|sold; addicted to something (ל־)
הִתְמַכְּרוּת|hitmakr<u>t|addiction
לְהִתְמַלֵּא|lehitmal<e>|to become full; to be fulfilled
לִמְלֹאת|liml<o>t|to be full; to become full; to complete, to be over
מָלֵא|mal<e>|full, complete
לְמַלֵּא|lemal<e>|to fill; to fill out; to fulfil
מְלָאכָה|melach<a>|work, labour; handicrafts
מִלְגָּה|milg<a>|stipend, scholarship
מֶלַח|m<e>lach|salt
מָלוּחַ|mal<u>ach|salty, salted
לְהַמְלִיחַ|lehaml<i>ach|to salt; to become salty
לְמַלֵּט|lemal<e>t|to save, to rescue
לְהִימָּלֵט|lehimal<e>t|to escape, to flee
לְהַמְלִיט|lehaml<i>t|to calve, to give birth (of animals)
מִילּוּט|mil<u>t|escape, rescue
מְלִיטָה|melit<a>|cementing
מֶלֶט|m<e>let|cement
מֶלֶךְ|m<e>lech|king
מַמְלָכָה|mamlach<a>|kingdom, monarchy; state
לְהַמְלִיךְ|lehaml<i>ch|to crown, to coronate
מַמְלַכְתִּי|mamlacht<i>|national, relating to state
מַלְכָּה|malk<a>|queen
מַלְכוּת|malch<u>t|kingdom; monarchy
מַמְלַכְתִּיּוּת|mamlachtiy<u>t|nationhood
לִמְלוֹךְ|liml<o>ch|to rule (as a king)
לְמַלְכֵּד|lemalk<e>d|to booby-trap, to place a bomb
לְמַלֵּל|lemal<e>l|to say, to utter (idiomatic)
מֶלֶל|m<e>lel|words, text; idle chatter
מִילָּה|mil<a>|word
מִילּוֹן|mil<o>n|dictionary
לְמַלְמֵל|lemalm<e>l|to mumble
מְלָפְפוֹן|melafef<o>n|cucumber
לְהַמְלִיץ|lehaml<i>tz|to recommend
הַמְלָצָה|hamlatz<a>|recommendation
מֶלְצַר|meltz<a>r|waiter
לִמְלוֹק|liml<o>k|to decapitate (a fowl)
לְמַמֵּן|lemam<e>n|to finance
מִימּוּן|mim<u>n|financing
לְמַמֵּשׁ|lemam<e>sh|to implement, to execute
לְהִתְמַמֵּשׁ|lehitmam<e>sh|to be executed, realized
מִימּוּשׁ|mim<u>sh|realisation, implementation
מַמָּשׁ|mam<a>sh|really, truly, indeed
מַמָּשׁ|mam<a>sh|reality, substance
מִן|m<i>n|from, of; than, compared to
מַנְגִּינָה|mangin<a>|tune, melody
מִנְחָה|minch<a>|gift, offering, sacrifice (flowery); mincha (afternoon prayer)
לִמְנוֹת|limn<o>t|to count, to number, to include (lit.)
לְהִימָּנוֹת|lehiman<o>t|to be counted, numbered; to belong
לְמַנּוֹת|leman<o>t|to appoint
מְנָיָה|menay<a>|share (finance), stock
מָנוּי|man<u>y|subscriber
מִינּוּי|min<u>y|nomination, appointment; subscription
מָנָה|man<a>|share, portion; dose; quotient (mathematics)
לְהִתְמַנּוֹת|lehitman<o>t|to be appointed (for a position - ל־)
לְמַנֵּן|leman<e>n|to dose (a medicine, etc.)
לִמְנוֹעַ|limn<o>a|to prevent
לְהִימָּנֵעַ|lehiman<e>a|to be prevented; to abstain
מְנִיעָה|meni'<a>|obstacle; prevention
לְמַנֵּף|leman<e>f|to leverage; to use a resource for one's benefit
לְמַסְגֵּר|lemasg<e>r|to frame (a painting, photograph)
לְמַסֵּד|lemas<e>d|to institutionalise, to make official
מִמְסָד|mims<a>d|establishment, ruling class
לְהִתְמַסֵּד|lehitmas<e>d|to get institutionalised, to become official
מִיסְחוּר|misch<u>r|commercialisation
לְהִתְמַסְחֵר|lehitmasch<e>r|to become commercialised
לְמַסְחֵר|lemasch<e>r|to commercialise
לְהִתְמַסְטֵל|lehitmast<e>l|to get high, to get stoned (slang)
לְמַסּוֹת|lemas<o>t|to tax
מִסְכֵּן|misk<e>n|poor, wretched, miserable
לְמַסְמֵר|lemasm<e>r|to nail (carpentry)
לְהִתְמוֹסֵס|lehitmos<e>s|to melt, to be dissolved
מַס|m<a>s|tax, fee
לְהָמִיס|leham<i>s|to melt, to dissolve
תְּמִיסָּה|tmis<a>|solution (chemistry)
לְהִימּוֹס|lehim<o>s|to be dissolved, to melt
לְמַסְפֵּר|lemasp<e>r|to number, to enumerate
לִמְסוֹר|lims<o>r|to send (a message), to transfer
לְהִימָּסֵר|lehimas<e>r|to be delivered, to be handed over
לְהִתְמַסֵּר|lehitmas<e>r|to devote oneself
מֶסֶר|m<e>ser|message; theme, topic
לְמַסְרֵר|lemasr<e>r|to send SMS, to text
לִמְעוֹד|lim'<o>d|to trip, to stumble, to slip
לְהַמְעִיד|leham'<i>d|to trip (someone), to cause someone to stumble
לְמַעֵט|lema'<e>t|to reduce
לְהַמְעִיט|leham'<i>t|to cause to decrease, diminish
לְהִתְמַעֵט|lehitma'<e>t|to decrease, to diminish (reflexive)
מָעַט|ma'<a>t|to lessen, to be reduced (literary)
מְעַט|me'<a>t|few, little
מוּעָט|mu'<a>t|few in numbers, not numerous
לִמְעוֹךְ|lim'<o>ch|to squash, to mash
לְהִימָּעֵךְ|lehima'<e>ch|to be squashed, mashed
מְעִיל|me'<i>l|coat, cloak
לִמְעוֹל|lim'<o>l|to embezzle
מֵעַל|me'<a>l|above, over; on top of
לְמַעֵן|lema'<e>n|to address
מַעַן|m<a>'an|address
לִמְעוֹן|lim'<o>n|to send (by mail)
מֵעַתָּה|me'at<a>|from now on
לְמַפּוֹת|lemap<o>t|to map, to chart
מִפְּנֵי|mipn<e>i|from, away from; because (with ש־)
מוֹפֵת|mof<e>t|good example, role model; wonder, miracle
לִמְצוֹא|limtz<o>|to find, to encounter
לְהִימָּצֵא|lehimatz<e>|to be found, discovered; to be present, to be located
לְהַמְצִיא|lehamtz<i>|to invent; to make up; to present
הִתְמַצְּאוּת|hitmatz'<u>t|familiarity; orientation (in a topic, etc.)
הִימָּצְאוּת|himatz'<u>t|location; presence, being found
הַמְצָאָה|hamtza'<a>|invention; fabrication
מְצִיאוּת|metzi'<u>t|reality; existence
לְהִתְמַצֵּא|lehitmatz<e>|to be familiar (with something), to know well
מִיצּוּב|mitz<u>v|positioning (marketing, business)
לְמַצֵּב|lematz<e>v|to position (marketing, business); to place (on a plan)
מֵצַח|m<e>tzach|forehead
לְמַצּוֹת|lematz<o>t|to exhaust; to drain
לִמְצוֹת|limtz<o>t|to squeeze, to drain (biblical)
מָצוּי|matz<u>y|present, existing; common, commonplace, usual
תַּמְצִית|tamtz<i>t|extract, concentrate; summary; abstract
לְמַצְמֵץ|lematzm<e>tz|to blink
אֶמְצָעוּת|emtza'<u>t|middle position (rare)
אֶמְצַע|emtz<a>|middle
לִמְצוֹץ|limtz<o>tz|to suck
לְהִתְמַצֵּק|lehitmatz<e>k|to solidify
מִצְרַייִם|mitzray<i>m|Egypt
לְמַקֵּד|lemak<e>d|to focus, to bring into focus
לְהִתְמַקֵּד|lehitmak<e>d|to focus (on something)
לְהִתְמַקֵּחַ|lehitmak<e>ach|to bargain, to haggle
מִקְטוֹרֶן|mikt<o>ren|jacket, vest
לְמַקֵּם|lemak<e>m|to place, to situate
לְהִתְמַקֵּם|lehitmak<e>m|to take one's place, to be situated
לְמַקֵּף|lemak<e>f|to hyphenate
לְהִתְמַקְצֵעַ|lehitmaktz<e>a|to specialise; to become a professional in something (ב-)
לְהִימֵּק|lehim<e>k|to rot
לְמַקֵּשׁ|lemak<e>sh|to plant with mines
מַר|m<a>r|mister, Mr. (a title before a name)
לְהַמְרִיא|lehamr<i>|to take off
הַמְרָאָה|hamra'<a>|takeoff
לִמְרוֹד|limr<o>d|to rebel, to revolt
לְהִתְמָרֵד|lehitmar<e>d|to rebel, to oppose
מֶרֶד|m<e>red|revolt, uprising
מַרְדָן|mard<a>n|rebel
לִמְרוֹחַ|limr<o>ach|to spread; to bribe (slang)
לְהִימָּרֵחַ|lehimar<e>ach|to be spread, to be smeared
לִמְרוֹט|limr<o>t|to pluck (hair, feathers)
לְהַמְרוֹת|lehamr<o>t|to disobey, to rebel (bibl.)
לְמַרְכֵּז|lemark<e>z|to centralise, to centre
לְמַרְמֵר|lemarm<e>r|to embitter (lit.), to feel bitter about something (lit.)
לְהִתְמַרְמֵר|lehitmarm<e>r|to complain, to resent
לְמַרְפֵּק|lemarp<e>k|to elbow
לְהַמְרִיץ|lehamr<i>tz|to motivate, to drive
הַמְרָצָה|hamratz<a>|stimulation, incentivising
מֶרֶץ|m<e>retz|energy, vigour, drive
תַּמְרִיץ|tamr<i>tz|incentive, stimulus
תַּמְרוּק|tamr<u>k|perfume, cosmetics
מָרָק|mar<a>k|soup
לְמָרֵק|lemar<e>k|to polish; to cleanse, to purify (lit.)
מָרִיר|mar<i>r|bitter (slightly)
לְהָמֵר|leham<e>r|to weep bitterly (archaic); to make someone's life miserable (archaic)
לְמָרֵר|lemar<e>r|to embitter
מַר|m<a>r|bitter
מַשָּׂא|mas<a>|burden, load
מַשָּׂאִית|masa'<i>t|truck, lorry
לְהַמְשִׂיג|lehams<i>g|to conceptualise
מַשֶּׁהוּ|m<a>shehu|something
לִמְשׁוֹחַ|limsh<o>ach|to cover with oil; to anoint
מִשְׁחָה|mishch<a>|ointment, spread
לִמְשׁוֹת|limsh<o>t|to draw (out of water)
לְהִימָּשׁוֹת|lehimash<o>t|to be pulled (out of water)
מְשִׁיכָה|meshich<a>|attraction (כוח המשיכה - force of gravity); pulling, traction; cash withdrawal
לִמְשׁוֹךְ|limsh<o>ch|to pull, to draw
לְהִימָּשֵׁךְ|lehimash<e>ch|to last, to extend; to be stretched
לְהִתְמַשֵּׁךְ|lehitmash<e>ch|to extend, to continue
לְהַמְשִׁיךְ|lehamsh<i>ch|to continue, to go on, to keep on
הֶמְשֵׁךְ|hemsh<e>ch|continuation
מֶשֶׁךְ|m<e>shech|duration
לְמַשְׁכֵּן|lemashk<e>n|to pledge, to use as collateral
לִמְשׁוֹל|limsh<o>l|to rule, to reign
לְהַמְשִׁיל|lehamsh<i>l|to compare, to equate; to appoint for an office (lit.)
לְהִימָּשֵׁל|lehimash<e>l|to be compared (with something); to be likened
מָשָׁל|mash<a>l|example; parable, allegory; proverb
מֶמְשֶׁלֶת|memsh<e>let|government
מֶמְשַׁלְתִּי|memshalt<i>|governmental
לְמַשְׁמֵעַ|lemashm<e>a|to discipline
לְמַשְׁמֵשׁ|lemashm<e>sh|to touch, to feel
מֶשֶׁק|m<e>shek|farm, agricultural settlement; economy
לְמַשֵּׁשׁ|lemash<e>sh|to touch, to grope; to feel
לְמַתֵּג|lemat<e>g|to brand, to label
מֶתֶג|m<e>teg|switch (electricity)
לִמְתּוֹחַ|limt<o>ach|to stretch, to pull
לְהִימָּתֵחַ|lehimat<e>ach|to be stretched
מְתִיכוּת|metich<u>t|tension, anxiety
מֶתַח|m<e>tach|tension, stretch; voltage
מֶתַח|m<e>tach|horizontal bar (gymnastics)
מָתוּחַ|mat<u>ach|stretched, strained; tense, nervous
מָתִיחַ|mat<i>ach|flexible
לְהִתְמַתֵּחַ|lehitmat<e>ach|to stretch (oneself), to get stretched out
מָתַי|mat<a>y|when (in questions)
מָתֶמָטִיקָה|matem<a>tika|mathematics
לְמַתֵּן|lemat<e>n|to moderate, to slow down
לְהַמְתִּין|lehamt<i>n|to await, to wait
לְהַמְתִּיק|lehamt<i>k|to sweeten; to desalinate (water)
מַמְתָּק|mamt<a>k|candy, sweet
מָתוֹק|mat<o>k|sweet
נָא|n<a>|please, kindly (polite request)
לִנְאוֹת|lin'<o>t|to be pleasant
לִנְאוֹם|lin'<o>m|to speak, to give a speech
נְאוּם|ne'<u>m|speech, address
לְנָאֵף|lena'<e>f|to commit adultery
לִנְאוֹף|lin'<o>f|to commit adultery, to fornicate
לְנָאֵץ|lena'<e>tz|to insult, to abuse (lit.)
לִנְאוֹק|lin'<o>k|to groan, to moan (rare)
נְאָקָה|ne'ak<a>|moan, groan (rare)
לְנַבֵּא|lenab<e>|to prophesy, to predict
לְהִתְנַבֵּא|lehitnab<e>|to prophesy, to predict
לְהִינָּבֵא|lehinav<e>|to prophesy, to predict
נְבוּאָה|nevu'<a>|prophesy
נָבִיא|nav<i>|prophet
לִנְבּוֹחַ|linb<o>ach|to bark (as of a dog)
נַבְחָן|navch<a>n|prone to barking
לְהַנְבִּיט|lehanb<i>t|to germinate, to sprout
לְהַבִּיט|lehab<i>t|to look, to glance
מַבָּט|mab<a>t|look, sight, regard
לִנְבּוֹט|linb<o>t|to germinate, to sprout
לִנְבּוֹל|linb<o>l|to wither, to dry out
לִנְבּוֹעַ|linb<o>a|to gush, to flow; to be caused by
לְהַבִּיעַ|lehab<i>a|to express, to convey
הַבָּעָה|haba'<a>|expression; facial expression
לִנְבּוֹר|linb<o>r|to burrow; to rummage
לְנַגֵּב|lenag<e>v|to dry, to wipe dry
לְהִתְנַגֵּב|lehitnag<e>v|to dry oneself
מַגֶּבֶת|mag<e>vet|towel
מַגֵּב|mag<e>v|windshield wiper; squeegee
מַגְּבוֹן|magv<o>n|wet wipe, moist towelette
לְהַנְגִּיד|lehang<i>d|to contrast, to compare
נַגָּד|nag<a>d|resistor (electricity)
לְהִתְנַגֵּד|lehitnag<e>d|to oppose, to resist
הִתְנַגְּדוּת|hitnagd<u>t|resistance, opposition
מְנוּגָּד|menug<a>d|opposite; contrary
אַגָּדָה|agad<a>|legend, fairy tale
נֶגֶד|n<e>ged|against
הַגָּדָה|hagad<a>|saga, legend, epic; the Passover Haggada
לְהַגִּיד|lehag<i>d|to tell, to say (mostly used in the future tense, imperative and infinitive)
לִנְגּוֹד|ling<o>d|to oppose, to contradict
לִנְגּוֹהַּ|ling<o>a(h)|to shine, to beam
לְהַגִּיהַּ|lehag<i>a(h)|to edit, to proofread; to illuminate (bibl.)
נוֹגַהּ|n<o>ga(h)|glow, shine, brightness; Venus (the planet)
לִנְגּוֹחַ|ling<o>ach|to butt, to gore, to ram
נַגָּח|nag<a>ch|goring, prone to goring
לְנַגֵּן|lenag<e>n|to play music (a musical instrument) (ב-)
נִיגּוּן|nig<u>n|melody, tune; playing (music)
לְהִתְנַגֵּן|lehitnag<e>n|to be played (about music)
לִנְגּוֹס|ling<o>s|to bite, to nibble, to eat into
מַגָּע|mag<a>|contact
לְהַגִּיעַ|lehag<i>a|to arrive, to come, to reach
לָגַעַת|lag<a>'at|to touch (ב־)
לְנַגֵּעַ|lenag<e>a|to infect, to afflict (biblical)
נֶגַע|n<e>ga|affliction, scourge
לְהִינָּגֵף|lehinag<e>f|to be defeated (lit.)
לְהִינָּגֵר|lehinag<e>r|to flow, to stream
נַגָּר|nag<a>r|carpenter, cabinet-maker, woodworker
לְנַגֵּר|lenag<e>r|to flow, to stream, to run (of a liquid)
לָגֶשֶׁת|lag<e>shet|to approach, to come near
לְהַגִּישׁ|lehag<i>sh|to serve (food, drink), to hand over
לְהַנְגִּישׁ|lehang<i>sh|to make accessible (for handicapped persons)
הִתְנַגְּשׁוּת|hitnagsh<u>t|collision; contradiction
נָגִישׁ|nag<i>sh|approachable, accesible
לְהִתְנַגֵּשׁ|lehitnag<e>sh|to collide, to clash; to contradict, to argue (עם)
לְנַדֵּב|lenad<e>v|to donate, to contribute
לְהִתְנַדֵּב|lehitnad<e>v|to volunteer, to enlist
נְדָבָה|nedav<a>|donation, contribution
הִתְנַדְּבוּת|hitnadv<u>t|volunteering
נָדִיב|nad<i>v|charitable, generous; noble, big-hearted
נְדִיבוּת|nediv<u>t|generosity; kind-heartedness
לִנְדּוֹב|lind<o>v|to donate, to contribute, to pledge
לִנְדּוֹד|lind<o>d|to wander, to roam, to migrate
הַדָּחָה|hadach<a>|dismissal, removal; seduction
לְהַדִּיחַ|lehad<i>ach|to dismiss (from a position); to seduce
לְנַדּוֹת|lenad<o>t|to banish, to expel, to exclude, to boycott
לְנַדְנֵד|lenadn<e>d|to rock, to sway (transitive); to bother (ל־) (slang)
לְהִתְנַדְנֵד|lehitnadn<e>d|to wobble, to sway, to rock (intransitive)
לְהִתְנַדֵּף|lehitnad<e>f|to evaporate, to dissipate
מַדָּף|mad<a>f|shelf, ledge
לִידּוֹר|lid<o>r|to vow, to promise
נֶדֶר|n<e>der|vow, promise
נָדִיר|nad<i>r|rare, uncommon
לְהַדִּיר|lehad<i>r|to exclude
לְהִתְנַהֵג|lehitnah<e>g|to behave
לִנְהוֹג|linh<o>g|to drive (a vehicle) (ב־); to have a manner of doing something, to usually do something
לְהַנְהִיג|lehanh<i>g|to lead, to rule; to introduce, to impose
נֶהָג|neh<a>g|driver ׁ(of a car, etc.)
הִתְנַהֲגוּת|hitnahag<u>t|behaviour, conduct
נְהִיגָה|nehig<a>|driving (a car)
מִנְהָג|minh<a>g|custom, tradition
לְנַהֵל|lenah<e>l|to manage, to organize
מִנְהָל|minh<a>l|management, administration
מְנַהֵל|menah<e>l|manager, principal, director
נוֹהַל|n<o>hal|procedure, established practice
לְהִתְנַהֵל|lehitnah<e>l|to be conducted (of a process)
לִנְהוֹם|linh<o>m|to growl, to roar, to moan
לִנְהוֹק|linh<o>k|to bray, to cry (of a donkey)
לִנְהוֹר|linh<o>r|to flow; to shine, to glow
נָהָר|nah<a>r|river
מִנְהָרָה|minhar<a>|tunnel
לְהָנִיא|lehan<i>|to dissuade
לְהָנִיב|lehan<i>v|to bear fruit, to yield (crop, profit)
לָנוּב|lan<u>v|to flourish, to grow (lit.)
לָנוּד|lan<u>d|to wander, to roam (dated)
לְהִתְנוֹדֵד|lehitnod<e>d|to stagger, to reel, to sway
לְהָנִיד|lehan<i>d|to shake (one's head: בראשו) (literary)
תְּנוּדָה|tnud<a>|fluctuation, oscillation
לָנוּחַ|lan<u>ach|to rest, to relax
לְהָנִיחַ|lehan<i>ach|to leave alone (ל־); to allow
לְהַנִּיחַ|lehan<i>ach|to place, to put; to assume
תְּנוּחָה|tnuch<a>|position, pose, posture
מְנוּחָה|menuch<a>|rest, calm, serenity; (in plural) funeral
נַחַת|n<a>chat|rest; pleasure, satisfaction
נוֹחַ|n<o>ach|comfortable, convenient, pleasant
נוֹחוּת|noch<u>t|comfort, ease
לְנַווֵּט|lenav<e>t|to navigate (a plane, a vessel)
נַווָּט|nav<a>t|navigator
נָאווֶה|nav<e>|to be pleasant, to be appropriate (poetic)
לִנְווֹת|linv<o>t|to live, to abide (archaic)
לָנוּם|lan<u>m|to doze, to sleep
לְהִתְנַווֵּן|lehitnav<e>n|to atrophy, to degenerate
לְנַווֵּן|lenav<e>n|to atrophy, to cause atrophy
מְנוּוָּן|menuv<a>n|atrophied
לְהָנִיס|lehan<i>s|to drive away, to expel
לָנוּס|lan<u>s|to flee, to escape
מָנוֹס|man<o>s|refuge, escape (lit.)
לָנוּעַ|lan<u>a|to move
לְהָנִיעַ|lehan<i>a|to cause to move, to motivate; to start
לְהִתְנוֹעֵעַ|lehitno'<e>a|to sway, to rock, to move (intransitive)
תְּנוּעָה|tnu'<a>|movement, motion; traffic; organization, party; vowel
לְנוֹפֵף|lenof<e>f|to wave (something)
לְהִתְנוֹפֵף|lehitnof<e>f|to wave, to flutter
לְהָנִיף|lehan<i>f|to fly (a flag), to raise
מָנוֹף|man<o>f|crane (construction, logistics); lever
מְנִיפָה|menif<a>|fan (hand-held)
נוֹף|n<o>f|landscape, scenery, view
נוּר|n<u>r|flame, light (זיקוקין די נור: fireworks)
מְנוֹרָה|menor<a>|lamp, light; candelabrum; menorah
נֵר|n<e>r|candle
לְהַזּוֹת|lehaz<o>t|to sprinkle, to spray (archaic)
לְהַנְזִיל|lehanz<i>l|to liquefy, to turn into liquid
לִנְזוֹל|linz<o>l|to leak, to drip
לְהַזִּיל|lehaz<i>l|to pour out; to shed (tears)
נַזֶּלֶת|naz<e>let|runny nose
לְהִינָּזֵף|lehinaz<e>f|to be reproached, rebuked
לִנְזוֹף|linz<o>f|to reproach, to rebuke
לְהַזִּיק|lehaz<i>k|to damage, to injure
לְהִינָּזֵק|lehinaz<e>k|to be damaged
לְהִתְנַזֵּר|lehitnaz<e>r|to abstain (from doing something); to become an ascetic
לְהַנְחוֹת|lehanch<o>t|to lead, to direct, to guide; to instruct
הַנְחָיָה|hanchay<a>|guidance, instruction
לִנְחוֹל|linch<o>l|to inherit, to gain
לְהַנְחִיל|lehanch<i>l|to endow, to bequeath
לְהִתְנַחֵל|lehitnach<e>l|to settle, to inhabit
נַחֲלָה|nachal<a>|domain, estate; legacy, inheritance
לְנַחֵם|lenach<e>m|to console, to comfort
לְהִינָּחֵם|lehinach<e>m|to regret, to repent (biblical)
נֶחָמָה|necham<a>|consolation, comfort
לְהִתְנַחֵם|lehitnach<e>m|to be consoled, to be comforted
לְהִתְנַחְמֵד|lehitnachm<e>d|to fawn, to kowtow, to be nice with someone for a material gain
נָחוּץ|nach<u>tz|necessary, required
לִנְחוֹר|linch<o>r|to snore; to slaughter (dated)
נְחִיר|nech<i>r|nostril; nozzle, exhaust
לְנַחֵשׁ|lenach<e>sh|to guess; to conjecture, to speculate
נָחָשׁ|nach<a>sh|snake, serpent
נְחוֹשֶׁת|nech<o>shet|copper
לִנְחוֹת|linch<o>t|to land, to befall
נֶחָת|nech<a>t|marine (military)
לְהַנְחִית|lehanch<i>t|to land (a plane, transitive); to impose (a task, responsibility) (coll.)
לִנְטוֹת|lint<o>t|to be inclined, disposed (to do something); to be declined, conjugated (gramm.)
לְהַטּוֹת|lehat<o>t|to incline, to tilt; to conjugate, to decline (transitive) (gramm.)
לְהִינָּטוֹת|lehinat<o>t|to be conjugated (grammar)
לְמַטָּה|lem<a>ta|downwards, down
מִיטָּה|mit<a>|bed
מַטָּלָה|matal<a>|task, mission, assignment
לִיטּוֹל|lit<o>l|to assume; to take, to hold (lit.)
לְהִינָּטֵעַ|lehinat<e>a|to be planted
לָטַעַת|lat<a>'at|to plant (a tree); to instil
לִנְטוֹף|lint<o>f|to drip, to leak
לְהַטִּיף|lehat<i>f|to advocate, to preach; to drip, to trickle (lit.)
לִנְטוֹר|lint<o>r|to guard (lit.)
מַטָּרָה|matar<a>|target, objective
לְנַטֵּר|lenat<e>r|to monitor (את)
נִיטּוּר|nit<u>r|monitoring
לְנַטְרֵל|lenatr<e>l|to neutralise
לִנְטוֹשׁ|lint<o>sh|to leave, to abandon, to neglect
לְהִינָּטֵשׁ|lehinat<e>sh|to spread, to happen, to take place (of battles)
לְהִינָּטֵשׁ|lehinat<e>sh|to be abandoned
נָטוּשׁ|nat<u>sh|abandoned, neglected, deserted
נַייָּד|nay<a>d|mobile, portable
נַייָּד|nay<a>d|mobile phone (coll.)
נַייֶּדֶת|nay<e>det|mobile unit (e.g. police patrol, ambulance)
נִיחוֹחַ|nich<o>ach|fragrance, scent
נְייָר|ney<a>r|paper; document
נִין|n<i>n|great-grandson
נִינָה|nin<a>|great-granddaughter
נֶכֶד|n<e>ched|grandson
נֶכְדָּה|nechd<a>|granddaughter
לִנְכּוֹחַ|link<o>ach|to be present, to attend
לְהַנְכִיחַ|lehanch<i>ach|to bring, to ensure presence
לְהַכּוֹת|lehak<o>t|to beat, to hit, to strike
לְנַכּוֹת|lenak<o>t|to deduct (from salary)
נָכֶה|nach<e>|disabled person, handicapped person
נָכוּת|nach<u>t|disability, handicap
מַכָּה|mak<a>|hit, strike
נִיכּוּי|nik<u>y|deduction (from salary, etc.)
