av|אָב
lecharcher|לְחַרְחֵר
lacharot|לַחֲרוֹט
lehecharet|לְהֵיחָרֵט
charata|חֲרָטָה
lehitcharet|לְהִתְחָרֵט
lechartet|לְחַרְטֵט
chartat|חַרְטָט
tacharut|תַּחֲרוּת
lehitcharot|לְהִתְחָרוֹת
mitchare|מִתְחָרֶה
hitcharut|הִתְחָרוּת
lacharot|לַחֲרוֹת
lehachrot|לְהַחְרוֹת
lacharoch|לַחֲרוֹךְ
lehecharech|לְהֵיחָרֵךְ
charach|חָרָךְ
lehacharim|לְהַחֲרִים
cherum|חֵירוּם
lehacharif|לְהַחֲרִיף
lecharef|לְחָרֵף
choref|חוֹרֶף
chorpi|חוֹרְפִּי
charif|חָרִיף
lachrof|לַחְרוֹף
lehitcharfen|לְהִתְחַרְפֵן
lehecharetz|לְהֵיחָרֵץ
charutz|חָרוּץ
lacharotz|לַחֲרוֹץ
lacharok|לַחֲרוֹק
cherek|חֶרֶק
cherut|חֵירוּת
lecharer|לְחָרֵר
lacharosh|לַחֲרוֹשׁ
lehacharish|לְהַחֲרִישׁ
lehecharesh|לְהֵיחָרֵשׁ
cheresh|חֵירֵשׁ
machresha|מַחְרֵשָׁה
lehitcharesh|לְהִתְחָרֵשׁ
lacharot|לַחֲרוֹת
lachshov|לַחְשׁוֹב
lehechashev|לְהֵיחָשֵׁב
lechashev|לְחַשֵּׁב
lehachshiv|לְהַחְשִׁיב
lehitchashev|לְהִתְחַשֵּׁב
hitchashvut|הִתְחַשְּׁבוּת
chishuv|חִישּׁוּב
machshev|מַחְשֵׁב
chashav|חַשָּׁב
cheshbon|חֶשְׁבּוֹן
chashuv|חָשׁוּב
cheshbonit|חֶשְׁבּוֹנִית
lehitchashben|לְהִתְחַשְׁבֵּן
lechashben|לְחַשְׁבֵּן
lachshod|לַחְשׁוֹד
lehechashed|לְהֵיחָשֵׁד
lehachshid|לְהַחְשִׁיד
chashud|חָשׁוּד
chashad|חֲשָׁד
chashay|חֲשַׁאי
lehachashot|לְהַחֲשׁוֹת
lachshoch|לַחְשׁוֹךְ
lehachshich|לְהַחְשִׁיךְ
choshech|חוֹשֶׁךְ
lechashel|לְחַשֵּׁל
lehitchashel|לְהִתְחַשֵּׁל
lechashmel|לְחַשְׁמֵל
lehitchashmel|לְהִתְחַשְׁמֵל
chashmal|חַשְׁמָל
chashmali|חַשְׁמָלִי
lehechasef|לְהֵיחָשֵׂף
chasifa|חֲשִׂיפָה
chasfan|חַשְׂפָן
chasfanit|חַשְׂפָנִית
chasfanut|חַשְׂפָנוּת
lachasof|לַחֲשׂוֹף
lechashek|לְחַשֵּׁק
lehitchashek|לְהִתְחַשֵּׁק
cheshek|חֵשֶׁק
lehechashek|לְהֵיחָשֵׁק
lachshok|לַחְשׁוֹק
lachshosh|לַחְשׁוֹשׁ
chashash|חֲשָׁשׁ
chatul|חָתוּל
chatula|חֲתוּלָה
chatuli|חֲתוּלִי
lachtoch|לַחְתּוֹךְ
lehechatech|לְהֵיחָתֵךְ
chatach|חֲתָךְ
chatich|חָתִיךְ
chaticha|חֲתִיכָה
lechatech|לְחַתֵּךְ
lechatel|לְחַתֵּל
chitul|חִיתּוּל
chataltul|חֲתַלְתּוּל
chataltula|חֲתַלְתּוּלָה
chataltulon|חֲתַלְתּוּלוֹן
chataltulonet|חֲתַלְתּוּלוֹנֶת
chatima|חֲתִימָה
lehechatem|לְהֵיחָתֵם
lehachtim|לְהַחְתִּים
lachtom|לַחְתּוֹם
lechaten|לְחַתֵּן
chatuna|חֲתוּנָּה
chatan|חָתָן
lehitchaten|לְהִתְחַתֵּן
machteret|מַחְתֶּרֶת
lachtor|לַחְתּוֹר
letate|לְטַאְטֵא
mat'ate|מַטְאֲטֵא
tavuach|טָבוּחַ
litboach|לִטְבּוֹחַ
lehitaveach|לְהִיטָּבֵחַ
tabach|טַבָּח
mitbach|מִטְבָּח
tevach|טֶבַח
litbol|לִטְבּוֹל
lehitavel|לְהִיטָּבֵל
lehatbil|לְהַטְבִּיל
litboa|לִטְבּוֹעַ
lehitavea|לְהִיטָּבֵעַ
lehatbia|לְהַטְבִּיעַ
tiv'oni|טִבְעוֹנִי
matbea|מַטְבֵּעַ
teva|טֶבַע
tiv'i|טִבְעִי
tiv'onut|טִבְעוֹנוּת
taba'at|טַבַּעַת
lehatbia|לְהַטְבִּיעַ
letagen|לְטַגֵּן
metugan|מְטוּגָּן
letaher|לְטַהֵר
lithor|לִטְהוֹר
lehitaher|לְהִיטָּהֵר
lehitaher|לְהִיטַּהֵר
tahor|טָהוֹר
tohar|טוֹהַר
latuv|לָטוּב
tova|טוֹבָה
tov|טוֹב
tuzig|טוּזִיג
lehatiach|לְהָטִיחַ
letaveach|לְטַווֵּחַ
tvach|טְווָח
litvot|לִטְווֹת
lehatil|לְהַטִּיל
lehatis|לְהָטִיס
latus|לָטוּס
matos|מָטוֹס
tisa|טִיסָה
matchena|מַטְחֵנָה
litchon|לִטְחוֹן
tachun|טָחוּן
tchina|טְחִינָה
letayev|לְטַייֵּב
tiyul|טִיּוּל
tayelet|טַייֶּלֶת
letayel|לְטַייֵּל
tayas|טַייָּס
letakes|לְטַכֵּס
letalgref|לְטַלְגְּרֵף
letaltel|לְטַלְטֵל
lehitaltel|לְהִיטַּלְטֵל
talit|טַלִּית
tal|טַל
telef|טֶלֶף
letalef|לְטַלֵּף
telefon|טֶלֶפוֹן
letalpen|לְטַלְפֵּן
letame|לְטַמֵּא
lehitame|לְהִיטָּמֵא
letamtem|לְטַמְטֵם
litmon|לִטְמוֹן
lehitamen|לְהִיטָּמֵן
lehatmin|לְהַטְמִין
lehatmia|לְהַטְמִיעַ
lehitamea|לְהִיטָּמֵעַ
letanef|לְטַנֵּף
tinofet|טִינּוֹפֶת
lit'ot|לִטְעוֹת
lehat'ot|לְהַטְעוֹת
ta'ut|טָעוּת
lit'om|לִטְעוֹם
lehat'im|לְהַטְעִים
ta'im|טָעִים
te'ima|טְעִימָה
mat'am|מַטְעָם
ta'am|טַעַם
lehat'in|לְהַטְעִין
lit'on|לִטְעוֹן
mit'an|מִטְעָן
mat'en|מַטְעֵן
lehita'en|לְהִיטָּעֵן
litpoach|לִטְפּוֹחַ
letapeach|לְטַפֵּחַ
tficha|טְפִיחָה
letaftef|לְטַפְטֵף
letapel|לְטַפֵּל
lehitafel|לְהִיטָּפֵל
tipul|טִיפּוּל
litpol|לִטְפּוֹל
letapes|לְטַפֵּס
tofes|טוֹפֶס
litpof|לִטְפּוֹף
metupash|מְטוּפָּשׁ
tipesh|טִיפֵּשׁ
tekes|טֶקֶס
tarud|טָרוּד
lehatrid|לְהַטְרִיד
hatrada|הַטְרָדָה
lehatriach|לְהַטְרִיחַ
litroach|לִטְרוֹחַ
letarter|לְטַרְטֵר
triyut|טְרִיּוּת
tari|טָרִי
litrof|לִטְרוֹף
lehitaref|לְהִיטָּרֵף
lehatrif|לְהַטְרִיף
letarped|לְטַרְפֵּד
lehitarek|לְהִיטָּרֵק
litrok|לִטְרוֹק
tareshet|טָרֶשֶׁת
lehittashtesh|לְהִתְטַשְׁטֵשׁ
letashtesh|לְטַשְׁטֵשׁ
li'ot|לִיאוֹת
leho'il|לְהוֹאִיל
lehiva'esh|לְהִיווָּאֵשׁ
lehitya'esh|לְהִתְייָאֵשׁ
ye'ush|יֵיאוּשׁ
meya'esh|מְייָאֵשׁ
leyabe|לְייַבֵּא
leyabev|לְייַבֵּב
lehovil|לְהוֹבִיל
meyubal|מְיוּבָּל
yabelet|יַבֶּלֶת
movil|מוֹבִיל
lehityabesh|לְהִתְייַבֵּשׁ
livosh|לִיבוֹשׁ
yavesh|יָבֵשׁ
yibush|יִיבּוּשׁ
yabeshet|יַבֶּשֶׁת
yabasha|יַבָּשָׁה
leyabesh|לְייַבֵּשׁ
tuga|תּוּגָה
leyagea|לְייַגֵּעַ
lehityagea|לְהִתְייַגֵּעַ
yagor|יָגוֹר
yad|יָד
yad|יָד
lehityaded|לְהִתְייַדֵּד
yedidut|יְדִידוּת
yadid|יָדִיד
lehodot|לְהוֹדוֹת
lidot|לִידוֹת
toda|תּוֹדָה
leyadot|לְייַדּוֹת
moda'a|מוֹדָעָה
lada'at|לָדַעַת
lehodia|לְהוֹדִיעַ
lehivadea|לְהִיווָּדֵעַ
leyadea|לְייַדֵּעַ
da'at|דַּעַת
yedi'a|יְדִיעָה
yeda|יֶדַע
yad'an|יַדְעָן
hoda'a|הוֹדָעָה
mada|מַדָּע
meda|מֵידָע
mad'an|מַדְעָן
yahadut|יַהֲדוּת
yehudi|יְהוּדִי
yehudiya|יְהוּדִיָּה
yehudi|יְהוּדִי
yahadut|יַהֲדוּת
yom|יוֹם
yoman|יוֹמָן
lehityaven|לְהִתְייַווֵּן
lehozil|לְהוֹזִיל
yazam|יַזָּם
mezam|מֵיזָם
yozma|יוֹזְמָה
lizom|לִיזוֹם
lehazia|לְהַזִּיעַ
lehityached|לְהִתְייַחֵד
meyuchad|מְיוּחָד
yichud|יִיחוּד
yachad|יַחַד
leyached|לְייַחֵד
leyachel|לְייַחֵל
lehityaches|לְהִתְייַחֵס
yachas|יַחַס
leyaches|לְייַחֵס
lehetiv|לְהֵיטִיב
yayin|יַיִן
lehochiach|לְהוֹכִיחַ
lehivacheach|לְהִיווָּכֵחַ
luchal|לוּכַל
yecholet|יְכוֹלֶת
laledet|לָלֶדֶת
leholid|לְהוֹלִיד
lehivaled|לְהִיווָּלֵד
lehityaled|לְהִתְייַלֵּד
yeled|יֶלֶד
yalda|יַלְדָּה
moledet|מוֹלֶדֶת
leda|לֵידָה
yaldut|יַלְדוּת
yeluda|יְלוּדָה
leyaled|לְייַלֵּד
leyalel|לְייַלֵּל
yelala|יְלָלָה
tola'at|תּוֹלַעַת
yama|יַמָּה
yami|יַמִּי
yam|יָם
meyuman|מְיוּמָּן
meyumanut|מְיוּמָּנוּת
lehityamer|לְהִתְייַמֵּר
yomra|יוֹמְרָה
lehonot|לְהוֹנוֹת
leyanen|לְייַנֵּן
lehenik|לְהֵינִיק
linok|לִינוֹק
tinok|תִּינוֹק
tinoket|תִּינוֹקֶת
lisod|לִיסוֹד
lehivased|לְהִיווָּסֵד
yesodiyut|יְסוֹדִיּוּת
yesodi|יְסוֹדִי
yesod|יְסוֹד
mosad|מוֹסָד
yisud|יִיסּוּד
leyased|לְייַסֵּד
yosef|יוֹסֵף
lehosif|לְהוֹסִיף
lehivasef|לְהִיווָּסֵף
tosefet|תּוֹסֶפֶת
lehitosef|לְהִיתּוֹסֵף
hosafa|הוֹסָפָה
yisurim|יִיסּוּרִים
lehityaser|לְהִתְייַסֵּר
leyaser|לְייַסֵּר
lehiva'ed|לְהִיווָּעֵד
mu'ad|מוּעָד
li'od|לִיעוֹד
ya'ad|יַעַד
leya'ed|לְייַעֵד
lehiva'ez|לְהִיווָּעֵז
to'elet|תּוֹעֶלֶת
leho'il|לְהוֹעִיל
leya'el|לְייַעֵל
ya'en|יָעֵן
ya'an|יַעַן
li'of|לִיעוֹף
la'utz|לָעוּץ
lehitya'etz|לְהִתְייַעֵץ
lehiva'etz|לְהִיווָּעֵץ
etza|עֵיצָה
yi'utz|יִיעוּץ
leya'etz|לְייַעֵץ
hitya'atzut|הִתְייַעֲצוּת
lehityapeach|לְהִתְייַפֵּחַ
leyapot|לְייַפּוֹת
yofi|יוֹפִי
yofi|יוֹפִי
lifot|לִיפוֹת
yafe|יָפֶה
mofa|מוֹפָע
lehofia|לְהוֹפִיעַ
tzet|צֵאת
latzet|לָצֵאת
lehotzi|לְהוֹצִיא
leyatze|לְייַצֵּא
totza'a|תּוֹצָאָה
motza|מוֹצָא
yetzi'a|יְצִיאָה
nitzav|נִיצָּב
lehityatzev|לְהִתְייַצֵּב
lehatziv|לְהַצִּיב
matzav|מַצָּב
nitzav|נִיצָּב
yatziv|יַצִּיב
yatzivut|יַצִּיבוּת
leyatzev|לְייַצֵּב
lehatzig|לְהַצִּיג
hatzaga|הַצָּגָה
matzeget|מַצֶּגֶת
leyatzeg|לְייַצֵּג
yitzug|יִיצּוּג
lehatzia|לְהַצִּיעַ
hetzea|הֶיצֵּעַ
hatza'a|הַצָּעָה
latzeket|לָצֶקֶת
mutzak|מוּצָק
lehivatzek|לְהִיווָּצֵק
litzor|לִיצוֹר
lehivatzer|לְהִיווָּצֵר
yitzur|יִיצּוּר
hivatzrut|הִיווָּצְרוּת
yetzer|יֵצֶר
mutzar|מוּצָר
yatzran|יַצְרָן
yetzur|יְצוּר
yetzir|יְצִיר
yatzur|יָצוּר
leyatzer|לְייַצֵּר
lehatzit|לְהַצִּית
matzit|מַצִּית
hatzata|הַצָּתָה
matzat|מַצָּת
yekev|יֶקֶב
moked|מוֹקֵד
likod|לִיקוֹד
lehokia|לְהוֹקִיעַ
lehityaker|לְהִתְייַקֵּר
lehokir|לְהוֹקִיר
yakir|יַקִּיר
yakira|יַקִּירָה
likor|לִיקוֹר
yakar|יָקָר
leyaker|לְייַקֵּר
mokesh|מוֹקֵשׁ
liro|לִירוֹא
lehityare|לְהִתְייָרֵא
nora|נוֹרָא
hora'a|הוֹרָאָה
lehorid|לְהוֹרִיד
yerida|יְרִידָה
laredet|לָרֶדֶת
yareach|יָרֵחַ
leyaret|לְייָרֵט
lirot|לִירוֹט
lirot|לִירוֹת
lehorot|לְהוֹרוֹת
lehiyarot|לְהִייָּרוֹת
yeri|יֶרִי
tora|תּוֹרָה
yarkut|יַרְקוּת
yerek|יֶרֶק
yarak|יָרָק
lirok|לִירוֹק
lehorik|לְהוֹרִיק
yarkan|יַרְקָן
yarkan|יַרְקָן
yarok|יָרוֹק
yerakrak|יְרַקְרַק
lareshet|לָרֶשֶׁת
lehorish|לְהוֹרִישׁ
yerusha|יְרוּשָּׁה
lehivaresh|לְהִיווָּרֵשׁ
yesh|יֵשׁ
toshav|תּוֹשָׁב
lashevet|לָשֶׁבֶת
lehityashev|לְהִתְייַשֵּׁב
leyashev|לְייַשֵּׁב
lehoshiv|לְהוֹשִׁיב
yeshiva|יְשִׁיבָה
yishuv|יִישּׁוּב
yoshev|יוֹשֵׁב
lehoshit|לְהוֹשִׁיט
leyasem|לְייַשֵּׂם
lishon|לִישׁוֹן
shena|שֵׁינָה
yashan|יָשָׁן
lehityashen|לְהִתְייַשֵּׁן
noshan|נוֹשָׁן
lehoshia|לְהוֹשִׁיעַ
lehivashea|לְהִיווָּשֵׁעַ
lehityasher|לְהִתְייַשֵּׁר
yishur|יִישּׁוּר
yashar|יָשָׁר
yashir|יָשִׁיר
leyasher|לְייַשֵּׁר
leheshir|לְהֵישִׁיר
litom|לִיתוֹם
lehityatem|לְהִתְייַתֵּם
yeter|יֶתֶר
yeter|יֶתֶר
metar|מֵיתָר
lehivater|לְהִיווָּתֵר
yitron|יִתְרוֹן
yoter|יוֹתֵר
meyutar|מְיוּתָּר
leyater|לְייַתֵּר
ke|כְּ־
lich'ov|לִכְאוֹב
lehach'iv|לְהַכְאִיב
ke'ev|כְּאֵב
ke'ilu|כְּאִילּוּ
kan|כָּאן
ka'asher|כַּאֲשֶׁר
lehitkabed|לְהִתְכַּבֵּד
lehachbid|לְהַכְבִּיד
lichbod|לִכְבּוֹד
kavod|כָּבוֹד
kaved|כָּבֵד
kvida|כְּבִידָה
kibud|כִּיבּוּד
lechabed|לְכַבֵּד
lechabot|לְכַבּוֹת
lehikavot|לְהִיכָּבוֹת
kabay|כַּבַּאי
kibuy|כִּיבּוּי
lichbot|לִכְבּוֹת
lichbol|לִכְבּוֹל
lehikavel|לְהִיכָּבֵל
lechabes|לְכַבֵּס
michbasa|מִכְבָּסָה
kvisa|כְּבִיסָה
lehachbir|לְהַכְבִּיר
kvar|כְּבָר
keves|כֶּבֶשׂ
lehikavesh|לְהִיכָּבֵשׁ
kvisha|כְּבִישָׁה
kvish|כְּבִישׁ
kivsa|כִּבְשָׂה
lichbosh|לִכְבּוֹשׁ
kegon|כְּגוֹן
keday|כְּדַאי
kadur|כַּדּוּר
kaduregel|כַּדּוּרֶגֶל
kedei|כְּדֵי
lehitkader|לְהִתְכַּדֵּר
lechadrer|לְכַדְרֵר
ko|כֹּה
lichhot|לִכְהוֹת
lehitkahot|לְהִתְכַּהוֹת
kehe|כֵּהֶה
lechahen|לְכַהֵן
kova|כּוֹבַע
koach|כּוֹחַ
lichvot|לִכְווֹת
lehikavot|לְהִיכָּווֹת
kochav|כּוֹכָב
lehachil|לְהָכִיל
mechula|מְכוּלָה
mechal|מֵיכָל
tchula|תְּכוּלָה
lehachin|לְהָכִין
lechaven|לְכַווֵּן
lechonen|לְכוֹנֵן
lehitkaven|לְהִתְכַּווֵּן
lehitkonen|לְהִתְכּוֹנֵן
lehikon|לְהִיכּוֹן
lehachvin|לְהַכְווִין
kavana|כַּווָּנָה
kivun|כִּיוּוּן
machon|מָכוֹן
tchuna|תְּכוּנָה
muchan|מוּכָן
nachon|נָכוֹן
hachana|הֲכָנָה
mechonit|מְכוֹנִית
konenut|כּוֹנְנוּת
konan|כּוֹנָן
konan|כּוֹנָן
mechina|מְכִינָה
kos|כּוֹס
lechavetz|לְכַווֵּץ
lehitkavetz|לְהִתְכַּווֵּץ
hitkavtzut|הִתְכַּווְּצוּת
lechazev|לְכַזֵּב
lehikazev|לְהִיכָּזֵב
lehachziv|לְהַכְזִיב
lehikached|לְהִיכָּחֵד
lehachchid|לְהַכְחִיד
kachol|כָּחוֹל
kchalchal|כְּחַלְחַל
michchol|מִכְחוֹל
lehachchil|לְהַכְחִיל
lehachchish|לְהַכְחִישׁ
lehitkachesh|לְהִתְכַּחֵשׁ
ki|כִּי
kiyor|כִּיּוֹר
kikar|כִּיכָּר
lechayel|לְכַייֵּל
kayas|כַּייָּס
kis|כִּיס
lechayes|לְכַייֵּס
lechayef|לְכַייֵּף
kach|כָּךְ
lechakev|לְכַכֵּב
kikar|כִּכָּר
lichlo|לִכְלוֹא
lehikale|לְהִיכָּלֵא
kele|כֶּלֶא
kelev|כֶּלֶב
klavlav|כְּלַבְלַב
klum|כְּלוּם
lechalot|לְכַלּוֹת
lichlot|לִכְלוֹת
lehitkalot|לְהִתְכַּלּוֹת
kli|כְּלִי
lehitkalkel|לְהִתְכַּלְכֵּל
kalkala|כַּלְכָּלָה
lechalkel|לְכַלְכֵּל
lehikalel|לְהִיכָּלֵל
klal|כְּלָל
michlala|מִכְלָלָה
michlol|מִכְלוֹל
kol|כּוֹל
klali|כְּלָלִי
lehachlil|לְהַכְלִיל
klalut|כְּלָלוּת
lichlol|לִכְלוֹל
lehachlim|לְהַכְלִים
klapei|כְּלַפֵּי
lichmoah|לִכְמוֹהַּ
kama|כַּמָּה
kmo|כְּמוֹ
kamuvan|כַּמּוּבָן
kmot|כְּמוֹת
kim'at|כִּמְעַט
kimut|כִּימּוּת
lekamet|לְכַּמֵּת
ken|כֵּן
lechanot|לְכַנּוֹת
kinuy|כִּינּוּי
lehitkanot|לְהִתְכַּנּוֹת
kina|כִּינָּה
kan|כַּן
lehikanes|לְהִיכָּנֵס
lehachnis|לְהַכְנִיס
lechanes|לְכַנֵּס
lehitkanes|לְהִתְכַּנֵּס
kneset|כְּנֶסֶת
knisa|כְּנִיסָה
hachnasa|הַכְנָסָה
kenes|כֶּנֶס
kinus|כִּינּוּס
michnasayim|מִכְנָסַייִם
lehachnia|לְהַכְנִיעַ
lehikanea|לְהִיכָּנֵעַ
hikan'ut|הִיכָּנְעוּת
kanaf|כָּנָף
kanir'e|כַּנִּרְאֶה
kise|כִּיסֵּא
kes|כֵּס
lechaseach|לְכַסֵּחַ
lechasot|לְכַסּוֹת
lehitkasot|לְהִתְכַּסּוֹת
michsa|מִכְסָה
michse|מִכְסֶה
kisuy|כִּיסּוּי
ksil|כְּסִיל
lichsos|לִכְסוֹס
lehachsif|לְהַכְסִיף
lehikasef|לְהִיכָּסֵף
kaspomat|כַּסְפּוֹמָט
kesef|כֶּסֶף
kasefet|כַּסֶּפֶת
lich'os|לִכְעוֹס
lehach'is|לְהַכְעִיס
ka'as|כַּעַס
lecha'er|לְכַעֵר
lichpot|לִכְפּוֹת
lehikafot|לְהִיכָּפוֹת
kafuy|כָּפוּי
kfiya|כְּפִייָּה
kaful|כָּפוּל
lichpol|לִכְפּוֹל
lehachpil|לְהַכְפִּיל
hachpala|הַכְפָּלָה
kiflayim|כִּפְלַייִם
kefel|כֶּפֶל
lehachfif|לְהַכְפִיף
kafif|כָּפִיף
lechofef|לְכוֹפֵף
kipa|כִּיפָּה
lehitkofef|לְהִתְכּוֹפֵף
kafif|כָּפִיף
kfifa|כְּפִיפָה
kfifa|כְּפִיפָה
lachof|לָכוֹף
kfafa|כְּפָפָה
kaf|כַּף
kaf|כַּף
lichpor|לִכְפּוֹר
lechaper|לְכַפֵּר
kfar|כְּפָר
kapara|כַּפָּרָה
kipur|כִּיפּוּר
lehachpish|לְהַכְפִּישׁ
lichpot|לִכְפּוֹת
lehikafet|לְהִיכָּפֵת
kaftor|כַּפְתּוֹר
lechafter|לְכַפְתֵּר
lehitkarbel|לְהִתְכַּרְבֵּל
kruv|כְּרוּב
kruv|כְּרוּב
lehachriz|לְהַכְרִיז
karoz|כָּרוֹז
kruz|כְּרוּז
muchrach|מוּכְרָח
lehachriach|לְהַכְרִיחַ
korach|כּוֹרַח
hechrechi|הֶכְרֵחִי
hechreach|הֶכְרֵחַ
kartis|כַּרְטִיס
lichrot|לִכְרוֹת
michre|מִכְרֶה
lehikarot|לְהִיכָּרוֹת
kriya|כְּרִייָּה
karish|כָּרִישׁ
karuch|כָּרוּךְ
lichroch|לִכְרוֹךְ
kruchit|כְּרוּכִית
lehikarech|לְהִיכָּרֵךְ
kerech|כֶּרֶךְ
tachrichim|תַּכְרִיכִים
tachrich|תַּכְרִיךְ
karich|כָּרִיךְ
kricha|כְּרִיכָה
karkom|כַּרְכּוֹם
lecharker|לְכַרְכֵּר
lecharsem|לְכַרְסֵם
lehachria|לְהַכְרִיעַ
lichroa|לִכְרוֹעַ
kera|כֶּרַע
lehikaret|לְהִיכָּרֵת
lichrot|לִכְרוֹת
tachshit|תַּכְשִׁיט
lechashkesh|לְכַשְׁכֵּשׁ
lehikashel|לְהִיכָּשֵׁל
lehachshil|לְהַכְשִׁיל
michshol|מִכְשׁוֹל
kishalon|כִּישָּׁלוֹן
keshel|כֶּשֶׁל
lichshol|לִכְשׁוֹל
lechashef|לְכַשֵּׁף
kishuf|כִּישּׁוּף
lehachshir|לְהַכְשִׁיר
kasher|כָּשֵׁר
lichshor|לִכְשׁוֹר
kishron|כִּשְׁרוֹן
tachshir|תַּכְשִׁיר
kashrut|כַּשְׁרוּת
hechsher|הֶכְשֵׁר
lichtov|לִכְתּוֹב
lehikatev|לְהִיכָּתֵב
lehachtiv|לְהַכְתִּיב
lehitkatev|לְהִתְכַּתֵּב
katav|כַּתָּב
hitkatvut|הִתְכַּתְּבוּת
ktiva|כְּתִיבָה
hachtava|הַכְתָּבָה
katava|כַּתָּבָה
michtav|מִכְתָּב
ktav|כְּתָב
tichtovet|תִּכְתּוֹבֶת
ktovet|כְּתוֹבֶת
katvan|כַּתְבָן
tachtiv|תַּכְתִּיב
katuv|כָּתוּב
lechatev|לְכַתֵּב
ktiv|כְּתִיב
kotel|כּוֹתֶל
lehachtim|לְהַכְתִּים
ketem|כֶּתֶם
katom|כָּתוֹם
katef|כָּתֵף
lechater|לְכַתֵּר
lehachtir|לְהַכְתִּיר
lehitkatesh|לְהִתְכַּתֵּשׁ
machtesh|מַכְתֵּשׁ
lichtosh|לִכְתּוֹשׁ
lichtot|לִכְתּוֹת
kita|כִּיתָּה
le|לְ־
lo|לֹא
le'at|לְאַט
lehal'ot|לְהַלְאוֹת
mal'ach|מַלְאָךְ
melacha|מְלָאכָה
lehal'im|לְהַלְאִים
le'an|לְאָן
lev|לֵב
lelabev|לְלַבֵּב
lehitlabet|לְהִתְלַבֵּט
hitlabtut|הִתְלַבְּטוּת
lelabot|לְלַבּוֹת
lelavlev|לְלַבְלֵב
lelaben|לְלַבֵּן
lehalbin|לְהַלְבִּין
malben|מַלְבֵּן
lavan|לָבָן
levana|לְבָנָה
levena|לְבֵנָה
loven|לוֹבֶן
lilbosh|לִלְבּוֹשׁ
lehitlabesh|לְהִתְלַבֵּשׁ
lehalbish|לְהַלְבִּישׁ
halbasha|הַלְבָּשָׁה
tilboshet|תִּלְבּוֹשֶׁת
levush|לְבוּשׁ
lavush|לָבוּשׁ
legabei|לְגַבֵּי
lelagleg|לְלַגְלֵג
lilgom|לִלְגּוֹם
ledivrei|לְדִבְרֵי
lehalhiv|לְהַלְהִיב
lehitlahev|לְהִתְלַהֵב
lehilahev|לְהִילָּהֵב
lilhov|לִלְהוֹב
lehava|לֶהָבָה
lilhot|לִלְהוֹט
lehitlahet|לְהִתְלַהֵט
lahat|לַהַט
lahaka|לַהֲקָה
lahak|לַהַק
lelahek|לְלַהֵק
lehitlahek|לְהִתְלַהֵק
luach|לוּחַ
lehalit|לְהָלִיט
lilvot|לִלְווֹת
lehalvot|לְהַלְווֹת
lehitlavot|לְהִתְלַוּוֹת
lehilavot|לְהִילָּווֹת
livuy|לִיוּוּי
lavyan|לַווְייָן
lelavot|לְלַוּוֹת
lulav|לוּלָב
lehitlonen|לְהִתְלוֹנֵן
malon|מָלוֹן
tluna|תְּלוּנָה
meluna|מְלוּנָה
lehalin|לְהָלִין
lalun|לָלוּן
lalush|לָלוּשׁ
lach|לַח
lechi|לֶחִי
lelachech|לְלַחֵךְ
lilchoch|לִלְחוֹךְ
lilchom|לִלְחוֹם
lehilachem|לְהִילָּחֵם
lehalchim|לְהַלְחִים
lechima|לְחִימָה
lechem|לֶחֶם
malchem|מַלְחֵם
milchama|מִלְחָמָה
lehalchin|לְהַלְחִין
lachan|לַחַן
lehalchitz|לְהַלְחִיץ
lilchotz|לִלְחוֹץ
lehilachetz|לְהִילָּחֵץ
lechitza|לְחִיצָה
lachatz|לַחַץ
lilchosh|לִלְחוֹשׁ
lehitlachesh|לְהִתְלַחֵשׁ
lehitlachshesh|לְהִתְלַחְשֵׁשׁ
lelatef|לְלַטֵּף
liltof|לִלְטוֹף
liltosh|לִלְטוֹשׁ
lelatesh|לְלַטֵּשׁ
leyad|לְיַד
leili|לֵילִי
layla|לַיְלָה
lilach|לִילָךְ
lehitlotzetz|לְהִתְלוֹצֵץ
melitz|מֵלִיץ
lalitz|לָלִיץ
lilkod|לִלְכּוֹד
lelaked|לְלַכֵּד
lehitlaked|לְהִתְלַכֵּד
malkodet|מַלְכּוֹדֶת
lachud|לָכוּד
likud|לִיכּוּד
lehilached|לְהִילָּכֵד
lelachlech|לְלַכְלֵךְ
lehitlachlech|לְהִתְלַכְלֵךְ
meluchlach|מְלוּכְלָךְ
lelachsen|לְלַכְסֵן
lachsin|לַכְסִין
lichsun|לִיכְסוּן
lilmod|לִלְמוֹד
lelamed|לְלַמֵּד
lehilamed|לְהִילָּמֵד
lehitlamed|לְהִתְלַמֵּד
talmud|תַּלְמוּד
talmid|תַּלְמִיד
limud|לִימּוּד
lama|לַמָּה
lema'an|לְמַעַן
lil'og|לִלְעוֹג
lehal'it|לְהַלְעִיט
lela'alea|לְלַעְלֵעַ
lil'os|לִלְעוֹס
lefi|לְפִי
lifnei|לִפְנֵי
lelapef|לְלַפֵּף
lilpot|לִלְפּוֹת
lefita|לְפִיתָה
lehilakeach|לְהִילָּקֵחַ
lehitlakeach|לְהִתְלַקֵּחַ
lakoach|לָקוֹחַ
lakachat|לָקַחַת
lekach|לֶקַח
lekicha|לְקִיחָה
lehilaket|לְהִילָּקֵט
lelaket|לְלַקֵּט
yalkut|יַלְקוּט
lilkot|לִלְקוֹט
lehalkot|לְהַלְקוֹת
lilkot|לִלְקוֹת
